State,2010,2011,2012,2013,2014,2015,2016,2017,TotalByState
ALABAMA,2.0,0.0,7.0,0.0,2.0,5.0,9.0,26.0,51.0
ALASKA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARIZONA,58.0,20.0,10.0,2.0,24.0,35.0,19.0,18.0,186.0
ARKANSAS,1.0,0.0,2.0,0.0,2.0,2.0,3.0,3.0,13.0
CALIFORNIA,38.0,45.0,135.0,6.0,251.0,186.0,89.0,133.0,883.0
COLORADO,55.0,5.0,228.0,5.0,69.0,44.0,90.0,39.0,535.0
CONNECTICUT,1.0,1.0,3.0,0.0,3.0,2.0,0.0,1.0,11.0
DELAWARE,2.0,0.0,7.0,0.0,0.0,6.0,0.0,1.0,16.0
DISTRICT OF COLUMBIA,1.0,10.0,2.0,1.0,2.0,1.0,0.0,3.0,20.0
FLORIDA,3.0,3.0,1.0,0.0,4.0,0.0,1.0,0.0,12.0
GEORGIA,9.0,5.0,4.0,0.0,2.0,2.0,1.0,7.0,30.0
HAWAII,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
IDAHO,1.0,1.0,26.0,0.0,13.0,8.0,5.0,11.0,65.0
ILLINOIS,17.0,12.0,31.0,0.0,13.0,28.0,152.0,20.0,273.0
INDIANA,7.0,2.0,4.0,0.0,1.0,5.0,3.0,10.0,32.0
IOWA,4.0,4.0,20.0,3.0,10.0,10.0,23.0,2.0,76.0
KANSAS,14.0,0.0,52.0,0.0,33.0,21.0,19.0,15.0,154.0
KENTUCKY,1.0,1.0,2.0,0.0,1.0,0.0,0.0,2.0,7.0
LOUISIANA,6.0,4.0,20.0,4.0,54.0,7.0,20.0,11.0,126.0
MAINE,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
MARYLAND,6.0,9.0,5.0,0.0,1.0,15.0,3.0,2.0,41.0
MASSACHUSETTS,1.0,1.0,1.0,0.0,1.0,3.0,6.0,1.0,14.0
MICHIGAN,4.0,1.0,12.0,0.0,0.0,2.0,1.0,8.0,28.0
MINNESOTA,4.0,1.0,48.0,1.0,15.0,4.0,55.0,14.0,142.0
MISSISSIPPI,6.0,22.0,18.0,4.0,17.0,13.0,15.0,17.0,112.0
MISSOURI,41.0,4.0,5.0,0.0,1.0,11.0,2.0,1.0,65.0
MONTANA,0.0,0.0,28.0,0.0,2.0,1.0,3.0,8.0,42.0
NEBRASKA,27.0,15.0,168.0,4.0,99.0,51.0,60.0,48.0,472.0
NEVADA,2.0,4.0,3.0,0.0,0.0,3.0,3.0,29.0,44.0
NEW HAMPSHIRE,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0
NEW JERSEY,15.0,5.0,2.0,0.0,2.0,3.0,0.0,2.0,29.0
NEW MEXICO,4.0,0.0,14.0,0.0,5.0,2.0,0.0,10.0,35.0
NEW YORK,0.0,0.0,0.0,0.0,9.0,15.0,14.0,35.0,73.0
NORTH CAROLINA,140.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,142.0
NORTH DAKOTA,7.0,3.0,63.0,0.0,10.0,13.0,54.0,42.0,192.0
OHIO,1.0,11.0,4.0,0.0,1.0,12.0,5.0,11.0,45.0
OKLAHOMA,12.0,0.0,26.0,0.0,9.0,40.0,13.0,13.0,113.0
OREGON,6.0,0.0,1.0,0.0,1.0,0.0,1.0,5.0,14.0
PENNSYLVANIA,9.0,1.0,5.0,0.0,1.0,13.0,5.0,6.0,40.0
RHODE ISLAND,9.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,12.0
SOUTH CAROLINA,40.0,0.0,4.0,0.0,0.0,0.0,2.0,3.0,49.0
SOUTH DAKOTA,16.0,2.0,92.0,11.0,45.0,29.0,116.0,46.0,357.0
TENNESSEE,2.0,2.0,7.0,0.0,4.0,1.0,3.0,12.0,31.0
TEXAS,12.0,7.0,65.0,1.0,118.0,70.0,112.0,48.0,433.0
UTAH,1.0,2.0,3.0,0.0,1.0,3.0,6.0,24.0,40.0
VERMONT,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,5.0
VIRGINIA,2.0,0.0,10.0,0.0,2.0,7.0,6.0,1.0,28.0
WASHINGTON,1.0,0.0,1.0,0.0,5.0,16.0,1.0,3.0,27.0
WEST VIRGINIA,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,5.0
WISCONSIN,2.0,1.0,4.0,1.0,3.0,4.0,4.0,8.0,27.0
WYOMING,4.0,2.0,25.0,0.0,5.0,5.0,3.0,3.0,47.0
TotalByYear,617.0,206.0,1176.0,43.0,841.0,698.0,929.0,706.0,5216.0
